,,,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI
Trial,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
ID,Sex,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat1,Male,A,16.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,22.0,20.0,42.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,28.0,48.0,26.0,14.0,12.0,0.0,26.0,38.0,0.0,36.0,14.0,10.0,0.0,22.0,18.0,38.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.666666666666666,3.3333333333333335,11.333333333333334,4.666666666666667,21.333333333333332,15.333333333333334,18.0,0.0,8.0,4.666666666666667,22.666666666666668,24.666666666666668,11.333333333333334,4.666666666666667,0.0,14.0,0.0,0.0,10.0,3.3333333333333335,7.333333333333333,8.666666666666666,40.666666666666664,16.666666666666668,43.333333333333336,27.333333333333332,0.0,10.666666666666666,4.666666666666667,0.0,0.0,4.0,4.0,9.333333333333334,39.333333333333336,42.0,24.666666666666668,8.0,18.0,14.0,11.333333333333334,15.333333333333334,52.666666666666664,0.0
Rat10,Female,A,48.0,86.0,102.0,96.0,86.0,72.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,74.0,0.0,0.0,36.0,85.33333333333333,98.66666666666667,95.33333333333333,96.66666666666667,83.33333333333333,7.333333333333333,20.0,0.0,0.0,0.0,0.0,3.3333333333333335,5.333333333333333,6.666666666666667,0.0,0.0,0.0,12.666666666666666,7.333333333333333,0.0,9.333333333333334,0.0,0.0,4.0,3.3333333333333335,4.0,10.0,86.0,30.0,0.0,11.333333333333334,14.0,3.3333333333333335,4.0,3.3333333333333335,0.0,14.666666666666666,6.666666666666667,0.0,12.666666666666666,6.0,12.0,8.666666666666666,4.666666666666667
Rat11,Female,A,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,12.0,16.0,0.0,72.0,60.0,0.0,0.0,0.0,64.0,32.0,0.0,94.0,0.0,0.0,20.0,0.0,0.0,40.0,0.0,40.0,62.0,46.0,44.0,0.0,80.0,0.0,3.3333333333333335,3.3333333333333335,4.0,8.0,5.333333333333333,14.666666666666666,21.333333333333332,3.3333333333333335,6.666666666666667,3.3333333333333335,10.0,18.0,12.0,26.0,30.666666666666668,12.0,0.0,20.0,36.0,26.0,60.0,28.0,43.333333333333336,16.0,0.0,4.0,27.333333333333332,10.666666666666666,48.0,54.0,50.666666666666664,4.0,22.0,19.333333333333332,0.0,16.0,31.333333333333332,5.333333333333333,36.0,71.33333333333333,23.333333333333332,34.0,24.0,33.333333333333336
Rat12,Male,B,0.0,0.0,0.0,20.0,10.0,14.0,0.0,32.0,70.0,0.0,64.0,12.0,0.0,10.0,0.0,38.0,58.0,62.0,24.0,14.0,0.0,0.0,26.0,28.0,0.0,0.0,28.0,0.0,16.0,34.0,2.0,0.0,0.0,0.0,52.0,0.0,24.0,30.0,46.0,14.0,16.0,50.0,24.0,30.0,0.0,3.3333333333333335,8.666666666666666,4.666666666666667,0.0,11.333333333333334,0.0,0.0,14.0,25.333333333333332,24.666666666666668,12.666666666666666,12.666666666666666,16.0,23.333333333333332,34.666666666666664,4.0,35.333333333333336,8.0,38.0,0.0,4.0,5.333333333333333,60.666666666666664,23.333333333333332,0.0,14.666666666666666,34.666666666666664,18.666666666666668,3.3333333333333335,24.666666666666668,22.0,13.333333333333334,7.333333333333333,14.666666666666666,10.0,19.333333333333332,38.666666666666664,16.0,80.0,52.666666666666664,25.333333333333332,47.333333333333336,8.666666666666666,6.666666666666667,6.0
Rat13,Male,B,0.0,14.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,42.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,14.0,0.0,8.666666666666666,10.0,41.333333333333336,0.0,0.0,0.0,0.0,0.0,15.333333333333334,0.0,0.0,3.3333333333333335,15.333333333333334,5.333333333333333,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,0.0,0.0,0.0,10.0,13.333333333333334,7.333333333333333,0.0,18.666666666666668,6.666666666666667,3.3333333333333335,13.333333333333334,10.666666666666666,0.0,19.333333333333332,3.3333333333333335,51.333333333333336
Rat14,Male,B,14.0,32.0,78.0,12.0,0.0,0.0,12.0,10.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,12.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,12.0,30.0,20.666666666666668,7.333333333333333,15.333333333333334,0.0,28.0,0.0,0.0,26.666666666666668,0.0,4.0,0.0,4.666666666666667,10.0,0.0,0.0,0.0,40.666666666666664,0.0,6.0,8.0,13.333333333333334,6.0,17.333333333333332,0.0,11.333333333333334,3.3333333333333335,0.0,0.0,0.0,0.0,17.333333333333332,56.666666666666664,0.0,14.666666666666666,0.0,4.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,4.0,5.333333333333333,18.0,82.66666666666667
Rat15,Male,B,10.0,82.0,62.0,48.0,84.0,44.0,34.0,0.0,30.0,34.0,30.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,30.0,10.0,4.0,22.0,0.0,50.0,0.0,52.0,10.0,44.0,0.0,20.0,16.0,10.0,0.0,40.0,10.0,10.0,0.0,10.0,40.666666666666664,80.0,64.66666666666667,68.0,62.666666666666664,49.333333333333336,8.666666666666666,28.666666666666668,30.0,45.333333333333336,11.333333333333334,32.666666666666664,18.0,0.0,4.666666666666667,0.0,4.0,0.0,0.0,0.0,3.3333333333333335,12.0,14.666666666666666,0.0,12.666666666666666,0.0,6.0,6.0,6.666666666666667,11.333333333333334,0.0,0.0,20.0,12.666666666666666,12.666666666666666,26.0,3.3333333333333335,55.333333333333336,5.333333333333333,26.0,3.3333333333333335,25.333333333333332,18.666666666666668,14.0,38.666666666666664
Rat16,Male,B,10.0,68.0,10.0,0.0,0.0,10.0,0.0,10.0,62.0,24.0,28.0,62.0,46.0,18.0,0.0,0.0,34.0,16.0,0.0,30.0,10.0,18.0,0.0,38.0,22.0,38.0,0.0,68.0,72.0,76.0,42.0,28.0,88.0,0.0,18.0,22.0,52.0,54.0,88.0,92.0,80.0,36.0,102.0,42.0,16.0,12.666666666666666,21.333333333333332,34.666666666666664,4.0,0.0,10.666666666666666,15.333333333333334,18.666666666666668,30.666666666666668,16.666666666666668,18.0,26.0,4.0,11.333333333333334,11.333333333333334,24.0,14.0,25.333333333333332,46.666666666666664,27.333333333333332,6.0,30.666666666666668,48.0,10.0,33.333333333333336,53.333333333333336,68.66666666666667,66.0,30.666666666666668,30.0,18.666666666666668,22.0,32.666666666666664,52.0,22.666666666666668,30.0,31.333333333333332,58.0,37.333333333333336,95.33333333333333,61.333333333333336,66.0,54.0,42.0,36.0
